"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Chair Weekly GG Call 18 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=4a434c57-80ff-4107-8465-90c83f77779b","Meeting,Audited,github issue,Operation","1","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Tevo Saks created on Mar 6, 2023 7:58 PM, Task completed on Mar 7, 2023 11:50 AM"
"Weekly Call 18","https://app.dework.xyz/gsg/test-62898?taskId=3b240507-dd43-431b-a994-89ae28a80095","Meeting,Audited,Operation,github issue","1","DONE","CallyFromAuron,sirwolcott [SWARM],Treasury,Tevo Saks,André [Treasury Guild],Nori",",0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Nori created on Mar 3, 2023 9:04 PM, Task completed on Mar 7, 2023 11:50 AM"
"Chair Weekly GG Call 17 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=cca21908-20dc-44ea-a8e7-5a43d6b55a95","github issue,Meeting,Audited,Operation","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Tevo Saks created on Mar 1, 2023 1:59 PM, Task completed on Mar 7, 2023 11:50 AM"
"Chair Weekly GG Call 16 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=96b37864-75c3-4eb3-be62-c545a81ced33","Operation,Meeting,Audited,github issue","1","DONE","Tevo Saks","","","","Tevo Saks created on Mar 1, 2023 1:59 PM, Task completed on Mar 7, 2023 11:50 AM"
"Weekly Call 17","https://app.dework.xyz/gsg/test-62898?taskId=147c1123-a400-4d23-90a5-1f4a1347d041","Operation,Meeting,github issue,Audited","1","DONE","Tevo Saks,Treasury,CallyFromAuron,André [Treasury Guild],Nori",",,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","André [Treasury Guild] created on Feb 27, 2023 6:05 AM, Task completed on Mar 7, 2023 11:50 AM"
"Weekly Call 16","https://app.dework.xyz/gsg/test-62898?taskId=dd7e0213-e552-48c4-88bf-f58beddc0350","github issue,Meeting,Audited,Operation","1","DONE","André [Treasury Guild],CallyFromAuron,JP | $CardanoBeast |,Treasury,Tevo Saks","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,,,","","","Tevo Saks created on Feb 20, 2023 1:06 PM, Task completed on Mar 7, 2023 11:50 AM"
"Tevo Activity List","https://app.dework.xyz/gsg/test-62898?taskId=5ef473bb-1b7a-4a6d-b3aa-cf89f0d86e73","Audited,github issue","3.67","DONE","Tevo Saks","","","","Tevo Saks created on Feb 13, 2023 1:47 PM, Task completed on Mar 14, 2023 12:09 PM"
"Chair Weekly GG Call 15 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=2cf8fe10-8efc-4c9a-a68f-d9db3c7a892d","github issue,Operation,Audited,Meeting","1","DONE","sirwolcott [SWARM]","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Treasury created on Feb 13, 2023 8:49 AM, Task completed on Feb 14, 2023 12:43 PM"
"Weekly GG Call 15","https://app.dework.xyz/gsg/test-62898?taskId=753f37f9-0611-4282-9f83-30a4ad3a66be","Audited,github issue,Operation,Meeting","1","DONE","André [Treasury Guild],sirwolcott [SWARM],Nori,Tevo Saks,Treasury,NaiiDz,JP | $CardanoBeast |,CallyFromAuron","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,","","","Treasury created on Feb 13, 2023 8:47 AM, Task completed on Feb 14, 2023 12:43 PM"
"Testing data for GG in the Treasury Dashboard","https://app.dework.xyz/gsg/test-62898?taskId=805c35b3-b037-4a90-8fc5-d9c920cc2122","github issue,Audited","1.5","DONE","André [Treasury Guild],Treasury","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,","","February 8, 2023 9:36 AM","Treasury created on Feb 8, 2023 9:32 AM, Task completed on Mar 21, 2023 11:15 AM"
"Chair Weekly GG Call 14 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=d283b8ec-2756-4449-beae-83600eb52e38","github issue,Meeting,Audited,Operation","1","DONE","Treasury","","","","Tevo Saks created on Feb 6, 2023 7:32 PM, Task completed on Feb 7, 2023 12:24 PM"
"Chair Weekly GG Call 13 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=5e063a73-7844-489b-85cf-8db1e90b79d2","github issue,Operation,Audited,Meeting","1","DONE","CallyFromAuron","","","","Tevo Saks created on Feb 6, 2023 7:20 PM, Task completed on Feb 7, 2023 12:24 PM"
"Weekly Call 14","https://app.dework.xyz/gsg/test-62898?taskId=c1271375-3c52-49d4-b695-da50ddac5a79","Meeting,Audited,github issue,Operation","1","DONE","André [Treasury Guild],sirwolcott [SWARM],CallyFromAuron,Nori,Tevo Saks,Treasury,NaiiDz","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Tevo Saks created on Feb 6, 2023 7:16 PM, Task completed on Feb 7, 2023 12:24 PM"
"Weekly Call 13","https://app.dework.xyz/gsg/test-62898?taskId=82f24e5a-bd05-47fd-86f3-8802395e7ca5","Meeting,Audited,Operation,github issue","1","DONE","Tevo Saks,André [Treasury Guild],Nori,sirwolcott [SWARM],Treasury,CallyFromAuron",",0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,","","","Tevo Saks created on Feb 6, 2023 7:14 PM, Task completed on Feb 7, 2023 12:24 PM"
"Vanessa activity list - January 2023 (Copy)","https://app.dework.xyz/gsg/test-62898?taskId=bba6164f-d96b-46f8-8713-517d6c48b6a9","github issue,Operation,Audited,Treasury","1.5","DONE","Treasury","","","","Treasury created on Feb 6, 2023 8:03 AM, Task completed on Mar 14, 2023 12:09 PM"
"André activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=95e3cf4f-e77f-4a6e-a52c-bb45a25950c0","Implement Tools,github issue,Audited","13","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Feb 3, 2023 8:55 AM, Task completed on Mar 14, 2023 12:09 PM"
"Vanessa activity list - February 2023","https://app.dework.xyz/gsg/test-62898?taskId=d0bbd436-8409-4e0c-87f1-27a0eaea8401","Operation,Audited","11","DONE","CallyFromAuron","","","","CallyFromAuron created on Jan 30, 2023 10:02 PM, Task completed on Mar 14, 2023 12:09 PM"
"Vanessa activity list - January 2023","https://app.dework.xyz/gsg/test-62898?taskId=f022d806-a4b4-4a0f-807c-b92669d17e3e","Audited,github issue,Operation","3.58","DONE","CallyFromAuron","","","","CallyFromAuron created on Jan 30, 2023 10:00 PM, Task completed on Jan 31, 2023 11:20 AM"
"PBL - Decision Making","https://app.dework.xyz/gsg/pbl-learning-materia?taskId=6bf97465-b4ac-428b-ade2-5db20ceb1de3","github issue","","IN_PROGRESS","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Nori created on Jan 30, 2023 7:29 PM"
"Weekly GG Call 13","https://app.dework.xyz/gsg/test-62898?taskId=6b8e21f8-c046-4d7b-9b9f-1acd8b791d1a","Meeting,Audited,Operation,github issue","1","DONE","André [Treasury Guild],Nori,sirwolcott [SWARM],Treasury,Tevo Saks,CallyFromAuron","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,","","","Treasury created on Jan 30, 2023 8:59 AM, Task completed on Jan 31, 2023 11:20 AM"
"André Activity List","https://app.dework.xyz/gsg/test-62898?taskId=6adda45c-248d-4c57-82c2-8595b37df3c3","github issue,Implement Tools,Audited","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Jan 25, 2023 7:57 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the second instalment from IOG","https://app.dework.xyz/gsg/test-62898?taskId=180da3e2-29b7-4880-937a-9014757280c8","Treasury,github issue,Operation,Audited","0.5","DONE","Treasury","","","December 12, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:48 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the first instalment from IOG","https://app.dework.xyz/gsg/test-62898?taskId=637c6abd-af4d-42a6-b648-de80f1701da8","Operation,Audited,Treasury,github issue","0.5","DONE","Treasury","","","November 7, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:43 AM, Task completed on Jan 31, 2023 11:20 AM"
"Documenting the first IOG transaction","https://app.dework.xyz/gsg/test-62898?taskId=cd9adc23-16a0-4cdf-acc5-4ec54304c815","Audited,Treasury,github issue,Operation","0.5","DONE","Treasury","","","October 27, 2022 8:23 AM","Treasury created on Jan 24, 2023 9:40 AM, Task completed on Jan 31, 2023 11:20 AM"
"Setting up Gitbook","https://app.dework.xyz/gsg/test-62898?taskId=8497c95c-871c-4b19-b236-9f757d5f0c90","github issue,Audited,Treasury,Operation","1","DONE","Treasury","","","October 25, 2022 8:23 AM","Treasury created on Jan 24, 2023 9:33 AM, Task completed on Jan 31, 2023 11:20 AM"
"Transfer GG funds to stablecoin","https://app.dework.xyz/gsg/test-62898?taskId=7e48c716-d985-4285-afa9-786261fd267e","github issue,Treasury,Audited,Operation","1","DONE","Treasury","","","November 7, 2022 9:23 AM","Treasury created on Jan 24, 2023 9:24 AM, Task completed on Jan 31, 2023 11:20 AM"
"Weekly Call 12 - 12.5 USD","https://app.dework.xyz/gsg/test-62898?taskId=aa001c3a-c668-4cda-bd76-d95049d73514","github issue,Operation,Audited,Meeting","1","DONE","sirwolcott [SWARM],NaiiDz,JP | $CardanoBeast |,CallyFromAuron,André [Treasury Guild],Nori,Tevo Saks,Treasury","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,","","","Tevo Saks created on Jan 23, 2023 9:04 PM, Task completed on Jan 24, 2023 11:37 AM"
"Naiidz Activity List","https://app.dework.xyz/gsg/test-62898?taskId=4f468e3a-d0af-4658-b039-863182ab6450","github issue,Audited,Operation","0.25","DONE","NaiiDz","0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Tevo Saks created on Jan 23, 2023 8:44 PM, Task completed on Jan 31, 2023 11:20 AM"
"Nori Activity List","https://app.dework.xyz/gsg/test-62898?taskId=5dca0b86-04d9-4105-830a-3ca894ec7174","Operation,Audited,github issue","1.5","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Tevo Saks created on Jan 23, 2023 2:11 PM, Task completed on Jan 31, 2023 11:20 AM"
"Hand over of CC Admin resources to Circle V4","https://app.dework.xyz/gsg/community-engagement-20134?taskId=32fe3556-b03c-49f4-add1-c2b509d058d2","github issue","","IN_PROGRESS","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Nori created on Jan 19, 2023 1:52 AM"
"Chair Weekly GG Call 11 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=363411b2-807e-4525-b3fc-7e7bd1cf6d53","Meeting,Audited,github issue,Operation","1","DONE","JP | $CardanoBeast |","","","","Tevo Saks created on Jan 17, 2023 3:48 PM, Task completed on Jan 24, 2023 11:37 AM"
"Weekly GG Call 11","https://app.dework.xyz/gsg/test-62898?taskId=fb4901aa-5e50-4d7d-8121-6614cc386bef","github issue,Operation,Audited,Meeting","1","DONE","Felix [SWARM],JP | $CardanoBeast |,CallyFromAuron,André [Treasury Guild],Tevo Saks,NaiiDz,sirwolcott [SWARM],Treasury,Nori","0x065301995B09114a7E8A33c9b3cF7C777506b443,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Tevo Saks created on Jan 17, 2023 3:47 PM, Task completed on Jan 24, 2023 11:37 AM"
"Attend Weekly GSG Call 10","https://app.dework.xyz/gsg/test-62898?taskId=e37aac07-3312-41c4-b9c9-5b27959b7ea1","Audited,Meeting,github issue,Operation","1","DONE","André [Treasury Guild],Tevo Saks,Treasury,sirwolcott [SWARM],NaiiDz,JP | $CardanoBeast |,CallyFromAuron,Nori,Felix [SWARM]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0x065301995B09114a7E8A33c9b3cF7C777506b443","","","Tevo Saks created on Jan 15, 2023 3:50 PM, Task completed on Jan 17, 2023 10:40 AM"
"Attend Weekly GSG Call 9","https://app.dework.xyz/gsg/test-62898?taskId=2be17c82-62ed-4abb-9ab3-01bfa03fda02","github issue,Operation,Audited,Meeting","1","DONE","JP | $CardanoBeast |,sirwolcott [SWARM],Nori,Felix [SWARM],Treasury,CallyFromAuron,André [Treasury Guild]",",0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0x065301995B09114a7E8A33c9b3cF7C777506b443,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Tevo Saks created on Jan 15, 2023 3:49 PM, Task completed on Jan 17, 2023 10:39 AM"
"Attend Weekly GSG Call 8","https://app.dework.xyz/gsg/test-62898?taskId=1da671f8-7ae7-45ed-8cc8-0301f251a146","Audited,Meeting,github issue,Operation","1","DONE","Tevo Saks,NaiiDz,JP | $CardanoBeast |,sirwolcott [SWARM],CallyFromAuron,André [Treasury Guild],Nori,Treasury",",0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,","","","Tevo Saks created on Jan 15, 2023 3:48 PM, Task completed on Jan 17, 2023 10:39 AM"
"Decision - Pay out all old tasks audited by Tevo Saks","https://app.dework.xyz/gsg/test-62898?taskId=6fadaae3-aeac-4870-b36c-2bdacaf5d920","Audited,Decision,github issue","","DONE","Treasury,Tevo Saks,NaiiDz,JP | $CardanoBeast |,André [Treasury Guild],CallyFromAuron,sirwolcott [SWARM],Nori,Felix [SWARM]",",,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0x065301995B09114a7E8A33c9b3cF7C777506b443","","","Tevo Saks created on Jan 15, 2023 3:40 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 10 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=b142467a-7a1d-4584-9b1b-6e6b5cba77c8","Operation,github issue,Meeting,Audited","1","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Tevo Saks created on Jan 15, 2023 3:33 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 9 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=1c2db1f1-1193-461c-92ca-66f5cde6b030","Audited,github issue,Meeting,Operation","1","DONE","Felix [SWARM]","0x065301995B09114a7E8A33c9b3cF7C777506b443","","","Tevo Saks created on Jan 15, 2023 3:29 PM, Task completed on Jan 17, 2023 10:38 AM"
"Chair Weekly GSG Call 8 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=9b74da6f-166b-4cc0-8a6d-7b245c4802f1","Meeting,Audited,Operation,github issue","1","DONE","NaiiDz","0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","","Tevo Saks created on Jan 15, 2023 3:29 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 6 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=d7aa5979-8e7f-4059-a662-51590ef660b9","Audited,Operation,Meeting,github issue","1","DONE","JP | $CardanoBeast |","","","","Tevo Saks created on Jan 15, 2023 3:28 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 6 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=0913e9a6-ee91-4b28-8638-2db1f5a531d3","Operation,Meeting,github issue,Audited","1","DONE","Tevo Saks","","","","Tevo Saks created on Jan 15, 2023 3:26 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 5 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=dccd4b5b-e112-4b25-be14-0a65a8666d27","github issue,Meeting,Audited,Operation","2","DONE","sirwolcott [SWARM]","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Tevo Saks created on Jan 15, 2023 3:25 PM, Task completed on Jan 17, 2023 10:39 AM"
"Tevo Activity List","https://app.dework.xyz/gsg/project-board?taskId=f5baaead-2159-40d2-88be-32a68b2a0342","github issue","","TODO","","","","","Github Integration created on Jan 12, 2023 7:55 PM"
"PBL - Code of Conduct","https://app.dework.xyz/gsg/pbl-learning-materia?taskId=fc7090d4-1978-4907-a30a-2c15d3483bbc","github issue","","IN_PROGRESS","JP | $CardanoBeast |","","","","Tevo Saks created on Jan 12, 2023 7:38 PM"
"PBL - Commissioning","https://app.dework.xyz/gsg/pbl-learning-materia?taskId=25a8f3dd-0786-4f3c-862e-987fb3e64cec","github issue","","IN_PROGRESS","CallyFromAuron","","","","Tevo Saks created on Jan 12, 2023 7:33 PM"
"PBL - Treasury Management","https://app.dework.xyz/gsg/pbl-learning-materia?taskId=410dbf14-60dc-4070-85c5-bb3963200f8b","github issue","5","IN_PROGRESS","André [Treasury Guild],Treasury","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,","","","Tevo Saks created on Jan 12, 2023 7:32 PM"
"12.22 Monthly Reporting - 50 USD","https://app.dework.xyz/gsg/test-62898?taskId=e3f2519f-238c-425e-ad45-9c113cc9f7f1","Audited,Operation,github issue,Treasury","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Tevo Saks created on Dec 29, 2022 2:55 PM, Task completed on Jan 17, 2023 10:38 AM"
"PM Activities and PM Documentation","https://app.dework.xyz/gsg/test-62898?taskId=844d2222-7a59-402c-9584-7aba3e9adf49","Audited,Operation,github issue","5.25","DONE","Tevo Saks","","","","Tevo Saks created on Dec 29, 2022 2:49 PM, Task completed on Jan 31, 2023 11:20 AM"
"Attend Weekly GSG Call 7 - 100 Gimbal","https://app.dework.xyz/gsg/test-62898?taskId=2ade46a8-e09e-46b3-b555-1e28b4bd0f6f","Meeting,github issue,Audited,Operation","1","DONE","NaiiDz,Nori,André [Treasury Guild],CallyFromAuron,JP | $CardanoBeast |,Felix [SWARM],Tevo Saks,Treasury,sirwolcott [SWARM]","0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,,0x065301995B09114a7E8A33c9b3cF7C777506b443,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","November 7, 2022 5:18 PM","Felix [SWARM] created on Nov 28, 2022 7:39 PM, Task completed on Jan 17, 2023 10:40 AM"
"Dework Task Template - 100 Gimbals","https://app.dework.xyz/gsg/test-62898?taskId=08a632cb-6ca5-4d9a-b29d-09beee56978d","","0.5","BACKLOG","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Nov 22, 2022 8:37 AM"
"Decision - CF Sub Circle Topic","https://app.dework.xyz/gsg/community-engagement-20134?taskId=b40f758e-a227-4ab8-b051-34ee11f362e4","","","TODO","","","","","Tevo Saks created on Nov 11, 2022 8:43 PM"
"CF Subcircle Commissioning - ?ADA","https://app.dework.xyz/gsg/community-engagement-20134?taskId=41f9a5ea-95bc-40fe-9361-dc45e92d189e","","","TODO","","","","","Github Integration created on Nov 11, 2022 8:39 PM"
"CF Subcircle Commissioning - ?ADA","https://app.dework.xyz/gsg/community-engagement-20134?taskId=ca124473-e95a-41a7-b9f6-f6b3a7c77243","","","BACKLOG","","","","","Tevo Saks created on Nov 11, 2022 8:39 PM"
"Clean Up Meeting Item Format","https://app.dework.xyz/gsg/test-62898?taskId=d5f144f9-781b-49f9-a8ab-a4ac5c993c82","Operation,Audited,github issue","4","DONE","Tevo Saks","","","","Tevo Saks created on Nov 11, 2022 8:24 PM, Task completed on Jan 17, 2023 10:40 AM"
"Attend Weekly GSG Call X - 100 Gimbal","https://app.dework.xyz/gsg/test-62898?taskId=10ddc63d-75d7-4238-acf6-541693e7f45a","Operation,github issue,Meeting,Audited","1","DONE","sirwolcott [SWARM],NaiiDz,Treasury,Felix [SWARM],André [Treasury Guild],JP | $CardanoBeast |,Tevo Saks","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,0x065301995B09114a7E8A33c9b3cF7C777506b443,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,","","November 7, 2022 5:18 PM","Felix [SWARM] created on Nov 7, 2022 7:10 PM, Task completed on Jan 17, 2023 10:39 AM"
"Emurgo Sub Circle Setup","https://app.dework.xyz/gsg/community-engagement-20134?taskId=da455c39-77dd-40a4-a29f-205ac3256683","","1","TODO","Felix [SWARM]","0x065301995B09114a7E8A33c9b3cF7C777506b443","","","Stephen [QADAO][SWARM] created on Oct 31, 2022 5:13 PM"
"Website - $500","https://app.dework.xyz/gsg/community-engagement-20134?taskId=d2476157-0df2-4b56-b76d-197a999ed824","","1","TODO","Felix [SWARM]","0x065301995B09114a7E8A33c9b3cF7C777506b443","","","Stephen [QADAO][SWARM] created on Oct 31, 2022 5:04 PM"
"Test Transactions","https://app.dework.xyz/gsg/test-62898?taskId=1587c3f8-4d1e-44bc-86b1-cec7eb9de18a","Audited,Treasury,github issue,Operation","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","October 28, 2022 12:55 PM","Stephen [QADAO][SWARM] created on Oct 28, 2022 12:55 PM, Task completed on Jan 17, 2023 10:40 AM"
"Chair Weekly GSG Call 4 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=e9533499-cd06-4ddb-ac7d-2d31f77abd09","Audited,Meeting,github issue,Operation","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","October 24, 2022 3:42 PM","Stephen [QADAO][SWARM] created on Oct 20, 2022 3:42 PM, Task completed on Jan 17, 2023 10:40 AM"
"Chair Weekly GSG Call 3 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=d5ab8d7b-4090-41da-9e6e-257d1dc70072","Operation,github issue,Meeting,Audited","1","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","October 17, 2022 3:41 PM","Stephen [QADAO][SWARM] created on Oct 20, 2022 3:41 PM, Task completed on Jan 17, 2023 10:40 AM"
