"Name","Link","Tags","Story Points","Status","Assignees","Wallet Address","Reward","Due Date","Activities"
"Chair Weekly GSG Call 6 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=d7aa5979-8e7f-4059-a662-51590ef660b9","Meeting,github issue,Operation,Audited","1","DONE","JP | $CardanoBeast |","","","","Tevo Saks created on Jan 15, 2023 3:28 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 6 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=0913e9a6-ee91-4b28-8638-2db1f5a531d3","Audited,github issue,Meeting,Operation","1","DONE","Tevo Saks","","","","Tevo Saks created on Jan 15, 2023 3:26 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 5 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=dccd4b5b-e112-4b25-be14-0a65a8666d27","Operation,github issue,Meeting,Audited","2","DONE","sirwolcott [SWARM]","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","","Tevo Saks created on Jan 15, 2023 3:25 PM, Task completed on Jan 17, 2023 10:39 AM"
"12.22 Monthly Reporting - 50 USD","https://app.dework.xyz/gsg/test-62898?taskId=e3f2519f-238c-425e-ad45-9c113cc9f7f1","Audited,Operation,github issue,Treasury","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","Tevo Saks created on Dec 29, 2022 2:55 PM, Task completed on Jan 17, 2023 10:38 AM"
"PM Activities and PM Documentation","https://app.dework.xyz/gsg/test-62898?taskId=844d2222-7a59-402c-9584-7aba3e9adf49","github issue,Audited,Operation","5.25","DONE","Tevo Saks","","","","Tevo Saks created on Dec 29, 2022 2:49 PM, Task completed on Jan 31, 2023 11:20 AM"
"Attend Weekly GSG Call 7 - 100 Gimbal","https://app.dework.xyz/gsg/test-62898?taskId=2ade46a8-e09e-46b3-b555-1e28b4bd0f6f","Audited,Meeting,Operation,github issue","1","DONE","Felix [SWARM],sirwolcott [SWARM],Treasury,Tevo Saks,Nori,André [Treasury Guild],CallyFromAuron,JP | $CardanoBeast |,NaiiDz","0x065301995B09114a7E8A33c9b3cF7C777506b443,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B","","November 7, 2022 5:18 PM","Felix [SWARM] created on Nov 28, 2022 7:39 PM, Task completed on Jan 17, 2023 10:40 AM"
"Dework Task Template - 100 Gimbals","https://app.dework.xyz/gsg/test-62898?taskId=08a632cb-6ca5-4d9a-b29d-09beee56978d","","0.5","BACKLOG","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","","André [Treasury Guild] created on Nov 22, 2022 8:37 AM"
"Clean Up Meeting Item Format","https://app.dework.xyz/gsg/test-62898?taskId=d5f144f9-781b-49f9-a8ab-a4ac5c993c82","Operation,github issue,Audited","4","DONE","Tevo Saks","","","","Tevo Saks created on Nov 11, 2022 8:24 PM, Task completed on Jan 17, 2023 10:40 AM"
"Attend Weekly GSG Call X - 100 Gimbal","https://app.dework.xyz/gsg/test-62898?taskId=10ddc63d-75d7-4238-acf6-541693e7f45a","Operation,github issue,Audited,Meeting","1","DONE","NaiiDz,sirwolcott [SWARM],JP | $CardanoBeast |,Tevo Saks,Treasury,André [Treasury Guild],Felix [SWARM]","0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0x065301995B09114a7E8A33c9b3cF7C777506b443","","November 7, 2022 5:18 PM","Felix [SWARM] created on Nov 7, 2022 7:10 PM, Task completed on Jan 17, 2023 10:39 AM"
"Test Transactions","https://app.dework.xyz/gsg/test-62898?taskId=1587c3f8-4d1e-44bc-86b1-cec7eb9de18a","Audited,Operation,Treasury,github issue","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","October 28, 2022 12:55 PM","Stephen [QADAO][SWARM] created on Oct 28, 2022 12:55 PM, Task completed on Jan 17, 2023 10:40 AM"
"Chair Weekly GSG Call 4 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=e9533499-cd06-4ddb-ac7d-2d31f77abd09","github issue,Operation,Meeting,Audited","1","DONE","André [Treasury Guild]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","October 24, 2022 3:42 PM","Stephen [QADAO][SWARM] created on Oct 20, 2022 3:42 PM, Task completed on Jan 17, 2023 10:40 AM"
"Chair Weekly GSG Call 3 - 100 USD","https://app.dework.xyz/gsg/test-62898?taskId=d5ab8d7b-4090-41da-9e6e-257d1dc70072","github issue,Meeting,Audited,Operation","1","DONE","Nori","0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","October 17, 2022 3:41 PM","Stephen [QADAO][SWARM] created on Oct 20, 2022 3:41 PM, Task completed on Jan 17, 2023 10:40 AM"
"GSG Monthly Reporting - 50 USD","https://app.dework.xyz/gsg/test-62898?taskId=d9ceefb3-5bb4-47b2-8c94-e1b978394269","Audited,Treasury,github issue,Operation","1","DONE","JP | $CardanoBeast |","","","November 24, 2022 4:46 PM","Stephen [QADAO][SWARM] created on Oct 17, 2022 3:47 PM, Task completed on Jan 17, 2023 10:40 AM"
"Onboarding GSG Proposal - ?ADA","https://app.dework.xyz/gsg/test-62898?taskId=408b4345-a53e-43cb-97dc-cc60be8fb3c8","Treasury,Audited,Operation,github issue","1","DONE","Stephen [QADAO][SWARM]","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","","Stephen [QADAO][SWARM] created on Oct 17, 2022 3:43 PM, Task completed on Jan 17, 2023 10:40 AM"
"Transfer GSG funds to stablecoin - ?ADA","https://app.dework.xyz/gsg/test-62898?taskId=78bd9cb3-a651-47cd-b71a-84f40b8f7fb9","Audited,Operation,github issue,Treasury","2","DONE","Tevo Saks","","","","Stephen [QADAO][SWARM] created on Oct 17, 2022 3:41 PM, Task completed on Jan 24, 2023 11:37 AM"
"Budget Review - ?ADA","https://app.dework.xyz/gsg/test-62898?taskId=72438b07-205f-4ece-a4c0-3ad8c97ba1bd","Meeting,Operation,Audited,github issue","2","DONE","André [Treasury Guild],NaiiDz,Stephen [QADAO][SWARM]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","October 27, 2022 9:30 AM","Stephen [QADAO][SWARM] created on Oct 17, 2022 3:35 PM, Task completed on Jan 17, 2023 10:39 AM"
"End of session survey - ?ADA","https://app.dework.xyz/gsg/test-62898?taskId=e84c454c-7f13-4747-8aa5-c3ef031d03a5","Audited,Operation,github issue,Implement Tools","2","DONE","Tevo Saks","","","","Stephen [QADAO][SWARM] created on Oct 17, 2022 3:29 PM, Task completed on Jan 17, 2023 10:40 AM"
"Calendar for Chair and notetaking - ?ADA","https://app.dework.xyz/gsg/test-62898?taskId=28d2d2af-1ff3-4ee1-96bc-f32feb1b38fc","Implement Tools,github issue,Operation,Audited","2","DONE","JP | $CardanoBeast |,Nori",",0x7F6f528AD92d29F03a11f8723974F1888DB20B19","","","Stephen [QADAO][SWARM] created on Oct 17, 2022 3:24 PM, Task completed on Jan 17, 2023 10:39 AM"
"Integrate dework tool with canvas - 300 ADA","https://app.dework.xyz/gsg/test-62898?taskId=5059c2e7-3d64-468a-a704-11319cbf2fb7","","2","TODO","André [Treasury Guild],Stephen [QADAO][SWARM],Treasury","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,","","October 13, 2022 4:40 PM","Stephen [QADAO][SWARM] created on Oct 13, 2022 4:42 PM"
"Weekly GSG Call - 100 Gimbal","https://app.dework.xyz/gsg/test-62898?taskId=93f13c05-147d-45a0-8316-8193bc345ba2","Meeting,github issue,Operation,Audited","1","DONE","sirwolcott [SWARM],NaiiDz,JP | $CardanoBeast |,CallyFromAuron,Stephen [QADAO][SWARM],Nori,Felix [SWARM],Tevo Saks,Treasury","0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,,,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0x065301995B09114a7E8A33c9b3cF7C777506b443,,","","October 31, 2022 5:18 PM","Treasury created on Oct 10, 2022 6:42 PM, Task completed on Jan 17, 2023 10:39 AM"
"Weekly GSG Call - 100 Gimbal","https://app.dework.xyz/gsg/test-62898?taskId=25a13a48-3e3a-46b5-8782-3282117fa5f9","Operation,github issue,Meeting,Audited","1","DONE","Tevo Saks,Felix [SWARM],Treasury,NaiiDz,Nori,JP | $CardanoBeast |,CallyFromAuron,André [Treasury Guild],sirwolcott [SWARM]",",0x065301995B09114a7E8A33c9b3cF7C777506b443,,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2","","October 24, 2022 4:18 PM","Treasury created on Oct 10, 2022 6:41 PM, Task completed on Jan 17, 2023 10:39 AM"
"Weekly GSG Call - 100 Gimbal","https://app.dework.xyz/gsg/test-62898?taskId=fc10723d-6f62-4f5e-bbfd-218edb06d891","Operation,Audited,github issue,Meeting","1","DONE","Stephen [QADAO][SWARM],NaiiDz,Nori,André [Treasury Guild],CallyFromAuron,JP | $CardanoBeast |,Felix [SWARM],sirwolcott [SWARM],Treasury,Tevo Saks","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,,0x065301995B09114a7E8A33c9b3cF7C777506b443,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,,","","October 17, 2022 4:18 PM","Treasury created on Oct 10, 2022 6:41 PM, Task completed on Jan 17, 2023 10:39 AM"
"Chair Weekly GSG Call 2 - 10 ADA","https://app.dework.xyz/gsg/test-62898?taskId=6db9d024-1f0d-4ab8-8d23-c108654ce8a0","Operation,Meeting,Audited,github issue","1.5","DONE","Stephen [QADAO][SWARM]","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","October 10, 2022 4:34 PM","Stephen [QADAO][SWARM] created on Oct 10, 2022 3:54 PM, Task completed on Jan 17, 2023 10:39 AM"
"Migration of GSG Documentation GitBook - 10 ADA","https://app.dework.xyz/gsg/test-62898?taskId=5f9c3891-abfd-489a-aed3-ab82574e2565","github issue,Operation,Audited","1","DONE","Stephen [QADAO][SWARM]","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","October 9, 2022 4:26 PM","Stephen [QADAO][SWARM] created on Oct 9, 2022 4:26 PM, Task completed on Jan 24, 2023 11:37 AM"
"Basic Code of Conduct - Consensus decision","https://app.dework.xyz/gsg/test-62898?taskId=0fe37b5b-c010-47ef-8d1c-51a5228f63de","Audited,Decision,github issue","","DONE","JP | $CardanoBeast |,NaiiDz,Felix [SWARM],Nori,André [Treasury Guild],Stephen [QADAO][SWARM],Tevo Saks,CallyFromAuron,sirwolcott [SWARM],Treasury",",0xf6Bc66191DFaCc21EcE671Ca0Ca1841538c0728B,0x065301995B09114a7E8A33c9b3cF7C777506b443,0x7F6f528AD92d29F03a11f8723974F1888DB20B19,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,,,0xC2691ECE203b4361643BD897AD7CE7C3cf6939c2,","","October 3, 2022 1:55 PM","Github Integration created on Oct 9, 2022 3:40 PM, Task completed on Jan 24, 2023 11:37 AM"
"Chair Weekly GSG Call - 10 ADA","https://app.dework.xyz/gsg/test-62898?taskId=af74c51e-10ea-491e-bf29-fe3e29aa6c2a","Operation,Meeting,github issue,Audited","2","DONE","JP | $CardanoBeast |","","","October 3, 2022 3:33 PM","Stephen [QADAO][SWARM] created on Oct 9, 2022 3:33 PM, Task completed on Jan 17, 2023 10:40 AM"
"Dework / Discord integration setup - 10 ADA","https://app.dework.xyz/gsg/test-62898?taskId=574e097b-0b55-4ed6-9335-6a6b536875a5","github issue,Audited,Operation,Implement Tools","2","DONE","André [Treasury Guild],Treasury,Stephen [QADAO][SWARM]","0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC,,0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB","","October 10, 2022 5:11 PM","Stephen [QADAO][SWARM] created on Oct 7, 2022 5:12 PM, Task completed on Jan 17, 2023 10:39 AM"
"Send invite link to GSG members - 10 ADA","https://app.dework.xyz/gsg/test-62898?taskId=8c1597c0-4440-4495-a257-1b4a0d339945","Operation,Audited,github issue,Audited","0.5","DONE","Stephen [QADAO][SWARM],Treasury,André [Treasury Guild]","0xB8d57C471Fb759f4B88C4022f9FB05FBBEd1F1aB,,0xe05fc8ACF46C441D7e99eE3A6B39F93027c01DeC","","October 7, 2022 4:57 PM","Github Integration created on Oct 7, 2022 4:29 PM, Task completed on Jan 17, 2023 10:40 AM"
